Estado,Sigla,Ano,N_CASOS,Óbitos
Espírito Santo,ES,2007,4,0
Minas Gerais,MG,2007,14,14
Paraná,PR,2007,2,0
Rio de Janeiro,RJ,2007,14,10
Rio Grande do Sul,RS,2007,2,0
Santa Catarina,SC,2007,35,0
São Paulo,SP,2007,31,20
Espírito Santo,ES,2008,3,0
Minas Gerais,MG,2008,11,16
Paraná,PR,2008,2,0
Rio de Janeiro,RJ,2008,8,8
Santa Catarina,SC,2008,26,0
São Paulo,SP,2008,41,30
Espírito Santo,ES,2009,1,0
Minas Gerais,MG,2009,12,8
Paraná,PR,2009,1,2
Rio de Janeiro,RJ,2009,9,6
Rio Grande do Sul,RS,2009,2,0
Santa Catarina,SC,2009,35,0
São Paulo,SP,2009,65,44
Ceará,CE,2010,1,0
Espírito Santo,ES,2010,5,0
Goiás,GO,2010,1,0
Minas Gerais,MG,2010,12,6
Mato Grosso,MT,2010,1,0
Paraíba,PB,2010,1,0
Paraná,PR,2010,3,2
Rio de Janeiro,RJ,2010,6,4
Santa Catarina,SC,2010,29,0
São Paulo,SP,2010,68,54
Espírito Santo,ES,2011,8,2
Minas Gerais,MG,2011,18,14
Paraná,PR,2011,2,0
Rio de Janeiro,RJ,2011,17,18
Rio Grande do Sul,RS,2011,1,0
Santa Catarina,SC,2011,24,0
São Paulo,SP,2011,78,82
Ceará,CE,2012,1,0
Espírito Santo,ES,2012,3,8
Goiás,GO,2012,2,0
Minas Gerais,MG,2012,10,8
Paraná,PR,2012,3,0
Rio de Janeiro,RJ,2012,5,4
Santa Catarina,SC,2012,40,0
São Paulo,SP,2012,88,100
Ceará,CE,2013,3,0
Distrito Federal,DF,2013,1,0
Espírito Santo,ES,2013,5,4
Minas Gerais,MG,2013,16,12
Paraná,PR,2013,3,0
Rio de Janeiro,RJ,2013,6,6
Rio Grande do Sul,RS,2013,2,0
Santa Catarina,SC,2013,31,0
São Paulo,SP,2013,62,68
Ceará,CE,2014,5,0
Espírito Santo,ES,2014,4,2
Minas Gerais,MG,2014,13,14
Paraná,PR,2014,3,0
Rio de Janeiro,RJ,2014,21,14
Rio Grande do Sul,RS,2014,1,0
Santa Catarina,SC,2014,51,0
São Paulo,SP,2014,84,118
Ceará,CE,2015,5,0
Espírito Santo,ES,2015,8,8
Goiás,GO,2015,2,0
Minas Gerais,MG,2015,20,10
Mato Grosso do Sul,MS,2015,3,0
Pernambuco,PE,2015,1,2
Paraná,PR,2015,6,4
Rio de Janeiro,RJ,2015,12,2
Rondônia,RO,2015,2,0
Santa Catarina,SC,2015,23,0
São Paulo,SP,2015,106,128
Bahia,BA,2016,1,0
Ceará,CE,2016,3,0
Distrito Federal,DF,2016,1,0
Espírito Santo,ES,2016,7,6
Goiás,GO,2016,2,0
Minas Gerais,MG,2016,23,12
Mato Grosso do Sul,MS,2016,3,0
Paraná,PR,2016,3,0
Rio de Janeiro,RJ,2016,14,14
Rondônia,RO,2016,2,0
Santa Catarina,SC,2016,27,0
São Paulo,SP,2016,67,78
Ceará,CE,2017,3,0
Espírito Santo,ES,2017,4,6
Goiás,GO,2017,4,0
Minas Gerais,MG,2017,41,38
Paraná,PR,2017,10,2
Rio de Janeiro,RJ,2017,18,14
Rondônia,RO,2017,1,0
Rio Grande do Sul,RS,2017,3,0
Santa Catarina,SC,2017,28,0
São Paulo,SP,2017,74,74
Alagoas,AL,2018,1,0
Bahia,BA,2018,1,0
Ceará,CE,2018,2,0
Distrito Federal,DF,2018,1,0
Espírito Santo,ES,2018,1,0
Goiás,GO,2018,1,0
Maranhão,MA,2018,2,0
Minas Gerais,MG,2018,76,52
Mato Grosso do Sul,MS,2018,1,0
Pernambuco,PE,2018,1,0
Paraná,PR,2018,6,0
Rio de Janeiro,RJ,2018,11,14
Rio Grande do Sul,RS,2018,1,0
Santa Catarina,SC,2018,45,0
São Paulo,SP,2018,111,124
Amazonas,AM,2019,1,2
Bahia,BA,2019,2,0
Ceará,CE,2019,2,0
Distrito Federal,DF,2019,2,0
Espírito Santo,ES,2019,5,4
Goiás,GO,2019,4,0
Minas Gerais,MG,2019,89,48
Mato Grosso,MT,2019,1,0
Paraná,PR,2019,19,0
Rio de Janeiro,RJ,2019,34,26
Rondônia,RO,2019,1,0
Rio Grande do Sul,RS,2019,2,0
Santa Catarina,SC,2019,48,0
São Paulo,SP,2019,69,74
Ceará,CE,2020,3,0
Goiás,GO,2020,3,0
Minas Gerais,MG,2020,27,16
Paraná,PR,2020,11,0
Rio de Janeiro,RJ,2020,13,6
Santa Catarina,SC,2020,47,0
São Paulo,SP,2020,68,78
Goiás,GO,2007,0,0
Mato Grosso do Sul,MS,2007,0,0
Bahia,BA,2007,0,0
Rondônia,RO,2007,0,0
Pará,PA,2007,0,0
Distrito Federal,DF,2007,0,0
Tocantins,TO,2007,0,0
Maranhão,MA,2007,0,0
Ceará,CE,2007,0,0
Mato Grosso,MT,2007,0,0
Paraíba,PB,2007,0,0
Amazonas,AM,2007,0,0
Amapá,AP,2007,0,0
Rio Grande do Norte,RN,2007,0,0
Pernambuco,PE,2007,0,0
Acre,AC,2007,0,0
Roraima,RR,2007,0,0
Piauí,PI,2007,0,0
Alagoas,AL,2007,0,0
Sergipe,SE,2007,0,0
Rio Grande do Sul,RS,2008,0,0
Goiás,GO,2008,0,0
Mato Grosso do Sul,MS,2008,0,0
Bahia,BA,2008,0,0
Rondônia,RO,2008,0,0
Pará,PA,2008,0,0
Distrito Federal,DF,2008,0,0
Tocantins,TO,2008,0,0
Maranhão,MA,2008,0,0
Ceará,CE,2008,0,0
Mato Grosso,MT,2008,0,0
Paraíba,PB,2008,0,0
Amazonas,AM,2008,0,0
Amapá,AP,2008,0,0
Rio Grande do Norte,RN,2008,0,0
Pernambuco,PE,2008,0,0
Acre,AC,2008,0,0
Roraima,RR,2008,0,0
Piauí,PI,2008,0,0
Alagoas,AL,2008,0,0
Sergipe,SE,2008,0,0
Goiás,GO,2009,0,0
Mato Grosso do Sul,MS,2009,0,0
Bahia,BA,2009,0,0
Rondônia,RO,2009,0,0
Pará,PA,2009,0,0
Distrito Federal,DF,2009,0,0
Tocantins,TO,2009,0,0
Maranhão,MA,2009,0,0
Ceará,CE,2009,0,0
Mato Grosso,MT,2009,0,0
Paraíba,PB,2009,0,0
Amazonas,AM,2009,0,0
Amapá,AP,2009,0,0
Rio Grande do Norte,RN,2009,0,0
Pernambuco,PE,2009,0,0
Acre,AC,2009,0,0
Roraima,RR,2009,0,0
Piauí,PI,2009,0,0
Alagoas,AL,2009,0,0
Sergipe,SE,2009,0,0
Rio Grande do Sul,RS,2010,0,0
Mato Grosso do Sul,MS,2010,0,0
Bahia,BA,2010,0,0
Rondônia,RO,2010,0,0
Pará,PA,2010,0,0
Distrito Federal,DF,2010,0,0
Tocantins,TO,2010,0,0
Maranhão,MA,2010,0,0
Amazonas,AM,2010,0,0
Amapá,AP,2010,0,0
Rio Grande do Norte,RN,2010,0,0
Pernambuco,PE,2010,0,0
Acre,AC,2010,0,0
Roraima,RR,2010,0,0
Piauí,PI,2010,0,0
Alagoas,AL,2010,0,0
Sergipe,SE,2010,0,0
Goiás,GO,2011,0,0
Mato Grosso do Sul,MS,2011,0,0
Bahia,BA,2011,0,0
Rondônia,RO,2011,0,0
Pará,PA,2011,0,0
Distrito Federal,DF,2011,0,0
Tocantins,TO,2011,0,0
Maranhão,MA,2011,0,0
Ceará,CE,2011,0,0
Mato Grosso,MT,2011,0,0
Paraíba,PB,2011,0,0
Amazonas,AM,2011,0,0
Amapá,AP,2011,0,0
Rio Grande do Norte,RN,2011,0,0
Pernambuco,PE,2011,0,0
Acre,AC,2011,0,0
Roraima,RR,2011,0,0
Piauí,PI,2011,0,0
Alagoas,AL,2011,0,0
Sergipe,SE,2011,0,0
Rio Grande do Sul,RS,2012,0,0
Mato Grosso do Sul,MS,2012,0,0
Bahia,BA,2012,0,0
Rondônia,RO,2012,0,0
Pará,PA,2012,0,0
Distrito Federal,DF,2012,0,0
Tocantins,TO,2012,0,0
Maranhão,MA,2012,0,0
Mato Grosso,MT,2012,0,0
Paraíba,PB,2012,0,0
Amazonas,AM,2012,0,0
Amapá,AP,2012,0,0
Rio Grande do Norte,RN,2012,0,0
Pernambuco,PE,2012,0,0
Acre,AC,2012,0,0
Roraima,RR,2012,0,0
Piauí,PI,2012,0,0
Alagoas,AL,2012,0,0
Sergipe,SE,2012,0,0
Goiás,GO,2013,0,0
Mato Grosso do Sul,MS,2013,0,0
Bahia,BA,2013,0,0
Rondônia,RO,2013,0,0
Pará,PA,2013,0,0
Tocantins,TO,2013,0,0
Maranhão,MA,2013,0,0
Mato Grosso,MT,2013,0,0
Paraíba,PB,2013,0,0
Amazonas,AM,2013,0,0
Amapá,AP,2013,0,0
Rio Grande do Norte,RN,2013,0,0
Pernambuco,PE,2013,0,0
Acre,AC,2013,0,0
Roraima,RR,2013,0,0
Piauí,PI,2013,0,0
Alagoas,AL,2013,0,0
Sergipe,SE,2013,0,0
Goiás,GO,2014,0,0
Mato Grosso do Sul,MS,2014,0,0
Bahia,BA,2014,0,0
Rondônia,RO,2014,0,0
Pará,PA,2014,0,0
Distrito Federal,DF,2014,0,0
Tocantins,TO,2014,0,0
Maranhão,MA,2014,0,0
Mato Grosso,MT,2014,0,0
Paraíba,PB,2014,0,0
Amazonas,AM,2014,0,0
Amapá,AP,2014,0,0
Rio Grande do Norte,RN,2014,0,0
Pernambuco,PE,2014,0,0
Acre,AC,2014,0,0
Roraima,RR,2014,0,0
Piauí,PI,2014,0,0
Alagoas,AL,2014,0,0
Sergipe,SE,2014,0,0
Rio Grande do Sul,RS,2015,0,0
Bahia,BA,2015,0,0
Pará,PA,2015,0,0
Distrito Federal,DF,2015,0,0
Tocantins,TO,2015,0,0
Maranhão,MA,2015,0,0
Mato Grosso,MT,2015,0,0
Paraíba,PB,2015,0,0
Amazonas,AM,2015,0,0
Amapá,AP,2015,0,0
Rio Grande do Norte,RN,2015,0,0
Acre,AC,2015,0,0
Roraima,RR,2015,0,0
Piauí,PI,2015,0,0
Alagoas,AL,2015,0,0
Sergipe,SE,2015,0,0
Rio Grande do Sul,RS,2016,0,0
Pará,PA,2016,0,0
Tocantins,TO,2016,0,0
Maranhão,MA,2016,0,0
Mato Grosso,MT,2016,0,0
Paraíba,PB,2016,0,0
Amazonas,AM,2016,0,0
Amapá,AP,2016,0,0
Rio Grande do Norte,RN,2016,0,0
Pernambuco,PE,2016,0,0
Acre,AC,2016,0,0
Roraima,RR,2016,0,0
Piauí,PI,2016,0,0
Alagoas,AL,2016,0,0
Sergipe,SE,2016,0,0
Mato Grosso do Sul,MS,2017,0,0
Bahia,BA,2017,0,0
Pará,PA,2017,0,0
Distrito Federal,DF,2017,0,0
Tocantins,TO,2017,0,0
Maranhão,MA,2017,0,0
Mato Grosso,MT,2017,0,0
Paraíba,PB,2017,0,0
Amazonas,AM,2017,0,0
Amapá,AP,2017,0,0
Rio Grande do Norte,RN,2017,0,0
Pernambuco,PE,2017,0,0
Acre,AC,2017,0,0
Roraima,RR,2017,0,0
Piauí,PI,2017,0,0
Alagoas,AL,2017,0,0
Sergipe,SE,2017,0,0
Rondônia,RO,2018,0,0
Pará,PA,2018,0,0
Tocantins,TO,2018,0,0
Mato Grosso,MT,2018,0,0
Paraíba,PB,2018,0,0
Amazonas,AM,2018,0,0
Amapá,AP,2018,0,0
Rio Grande do Norte,RN,2018,0,0
Acre,AC,2018,0,0
Roraima,RR,2018,0,0
Piauí,PI,2018,0,0
Sergipe,SE,2018,0,0
Mato Grosso do Sul,MS,2019,0,0
Pará,PA,2019,0,0
Tocantins,TO,2019,0,0
Maranhão,MA,2019,0,0
Paraíba,PB,2019,0,0
Amapá,AP,2019,0,0
Rio Grande do Norte,RN,2019,0,0
Pernambuco,PE,2019,0,0
Acre,AC,2019,0,0
Roraima,RR,2019,0,0
Piauí,PI,2019,0,0
Alagoas,AL,2019,0,0
Sergipe,SE,2019,0,0
Espírito Santo,ES,2020,0,0
Rio Grande do Sul,RS,2020,0,0
Mato Grosso do Sul,MS,2020,0,0
Bahia,BA,2020,0,0
Rondônia,RO,2020,0,0
Pará,PA,2020,0,0
Distrito Federal,DF,2020,0,0
Tocantins,TO,2020,0,0
Maranhão,MA,2020,0,0
Mato Grosso,MT,2020,0,0
Paraíba,PB,2020,0,0
Amazonas,AM,2020,0,0
Amapá,AP,2020,0,0
Rio Grande do Norte,RN,2020,0,0
Pernambuco,PE,2020,0,0
Acre,AC,2020,0,0
Roraima,RR,2020,0,0
Piauí,PI,2020,0,0
Alagoas,AL,2020,0,0
Sergipe,SE,2020,0,0
